StartDate,EndDate,IPAddress,US,Duration (in seconds),ResponseId,LocationLatitude,LocationLongitude,a1,a2,a3,a4,a5,a6,a7,a8,a9,b1,b2,b3,b4,b5,b6,b7,b8,b9,mfq1,mfq2,mfq3,mfq4,mfq5,mfq6,mfq7,mfq8,mfq9,mfq10,mfq11,mfq12,mfq13,mfq14,mfq15,mfq16,mfq17,mfq18,mfq19,mfq20,mfq21,mfq22,mfq23,mfq24,mfq25,mfq26,mfq27,mfq28,mfq29,mfq30,mfq31,svs1,svs2,svs3,svs4,svs5,svs6,svs7,svs8,svs9,svs10,svs11,io,si,so,deq1,deq2,deq3,deq4,deq5,deq6,deq7,deq8,bp1,bp2,bp3,bp4,bp5,bp6,bp7,bp8,bp9,ap1,ap2,ap3,ap4,ap5,ap6,ap7,ap8,ap9,sex,age,race,race_6_TEXT,ses,ed,for_pol,eco_pol,soc_pol,rel_pol,polaff,relaff,relaff_1_TEXT,relaff_10_TEXT,stp,pray,relserv,relint,purpose,purpose_check,study,study_check,task,explain,goal,task_susp,strategy,cond,condName
6/24/2017 13:05,6/24/2017 13:12,70.190.102.233,0,383,R_O2qnU4nzGgyPK8x,33.28520203,-112.0375977,5,4,5,4,4,6,5,4,4,,,,,,,,,,5,3,4,4,3,4,3,3,5,4,4,3,3,5,5,5,3,5,5,4,3,3,4,3,3,5,4,4,3,5,5,4,5,5,4,5,3,6,4,5,4,4,4,4,3,4,3,5,5,4,3,3,5,4,3,5,3,4,5,6,5,5,,,,,,,,,,1,21,1,,2,3,2,6,2,4,7,9,,,4,1,1,1,I'm not sure in all honesty.,0,I can't say for certain what the intent was.,0,2,,2,0,,0,A
6/24/2017 13:06,6/24/2017 13:10,23.112.114.15,0,270,R_BtW2tfabzERbUC5,28.53109741,-80.85230255,1,1,1,1,1,1,1,1,1,,,,,,,,,,6,3,3,6,5,3,6,5,6,4,2,2,6,6,4,5,6,4,4,5,3,6,3,1,5,6,1,4,4,6,6,4,7,6,6,6,7,6,7,5,6,6,5,6,5,1,1,7,7,1,5,1,7,7,7,7,7,7,7,7,7,7,,,,,,,,,,1,33,1,,3,4,7,7,7,7,1,1,BAPTIST,,1,6,4,9,EVALUATING OPINIONS ON RELIGION,0,DIFFERENT BELIEFS ON RELIGION AND SELF,0,2,,2,0,,0,A
6/24/2017 13:06,6/24/2017 13:19,74.130.79.152,0,779,R_1eL8yidsHJmYC6z,38.22169495,-85.68000031,,,,,,,,,,6,6,7,7,5,7,6,7,7,4,4,3,5,4,3,5,3,4,4,4,4,4,4,3,4,4,5,5,5,4,5,2,4,3,4,4,5,5,6,5,5,7,6,4,5,6,6,6,4,5,3,3,6,3,1,1,5,6,1,6,1,6,,,,,,,,,,3,4,6,6,6,3,5,5,5,2,40,5,,4,4,6,6,6,6,2,1,Southern Baptist,,1,6,5,9,To see where people stand on religion and the view points of God,0,How people view the attributes of God,0,2,,2,0,,1,B
6/24/2017 13:07,6/24/2017 13:26,24.92.120.234,0,1102,R_0qeFo73GhJRWyM9,31.90229797,-106.4065018,6,6,6,4,7,3,7,2,1,,,,,,,,,,3,1,3,4,5,3,4,2,4,4,1,1,3,4,4,3,1,6,6,6,1,6,6,6,5,5,6,6,2,6,6,7,7,5,7,7,7,6,7,3,6,5,3,6,2,1,1,3,3,1,2,1,3,7,7,7,7,7,7,7,4,7,,,,,,,,,,2,33,3,,3,3,2,2,4,4,6,9,,,4,3,1,5,"The purpose of this experiment was to rate how I felt about politics, religion and my social life.  Focusing more into my religious views and how much I believe in God.  ",0,This experiment was trying to study my social and religious aspects of my life.  Focusing primarily on religion and how I feel about God.  ,0,2,,2,0,,0,A
6/24/2017 13:07,6/24/2017 13:38,72.228.42.128,0,1831,R_2v2EadEvcQUl2jQ,43.00559998,-73.8628006,,,,,,,,,,5,6,7,7,7,6,7,6,6,4,5,4,5,5,3,5,3,5,3,3,4,6,6,6,5,4,5,5,6,2,6,4,2,2,1,5,4,3,6,6,6,5,6,5,7,6,6,7,5,6,5,2,4,2,1,1,5,4,1,3,1,3,,,,,,,,,,2,1,2,1,1,1,3,3,3,2,25,5,,4,4,2,2,1,1,7,10,,Wiccan,3,3,1,5,I think the purpose of this experiment is trying to see how people and society think about God and religion.,0,To see how people feel about God and religion. ,0,2,N/A,1,0,Just to be honest. ,1,B
6/24/2017 13:27,6/24/2017 13:39,174.99.35.164,0,678,R_eIMIS8QGDReo4Fj,35.96659851,-79.04100037,1,1,1,1,1,1,1,1,1,,,,,,,,,,1,3,4,6,6,3,5,2,6,3,3,2,6,6,2,1,1,6,6,6,4,5,1,1,4,4,6,2,2,6,4,5,6,5,2,5,6,6,4,6,6,6,3,4,1,1,1,4,4,1,4,1,4,6,6,6,6,6,6,6,6,6,,,,,,,,,,1,41,5,,4,4,1,1,1,1,7,8,,,6,1,1,1,Gauging people's attitudes towards God?,0,not sure,0,2,,2,0,,0,A
6/24/2017 13:50,6/24/2017 13:55,72.235.11.236,0,306,R_1d6wb3u8gxGITjo,21.37750244,-158.0861969,,,,,,,,,,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,6,4,4,4,4,4,4,4,4,4,4,4,7,6,6,6,7,7,6,6,4,4,4,1,4,1,4,4,4,4,4,4,4,4,,,,,,,,,,4,4,4,4,4,4,4,4,4,2,23,2,,3,4,4,4,4,4,6,7,,,7,1,1,1,Religious influence on political and social stances,0,Belief in 'God' and your preferences and personality types,0,2,,2,0,,1,B
6/24/2017 14:02,6/24/2017 14:24,76.217.129.76,0,1322,R_3MJpLEYLzuDywqz,33.0500946,-117.2528,1,1,1,1,1,1,1,1,1,,,,,,,,,,1,1,1,5,4,3,5,1,4,1,1,1,6,6,6,1,1,1,6,6,4,6,5,1,1,5,1,5,1,6,6,7,7,7,7,7,7,6,7,4,6,7,3,7,5,1,1,1,4,1,4,1,4,7,7,7,7,7,7,7,7,7,,,,,,,,,,2,56,5,,3,4,7,7,7,7,1,2,,,2,5,4,9,To see what people's thought are towards descriptions of God.,0,To see how people think about God and the way they envision him.,0,1,I don't see God as a vengeful entity but yet a loving and compassionate one. My answers reflected that.,2,0,,0,A
6/24/2017 14:48,6/24/2017 15:03,68.105.27.121,0,877,R_2U3h5BgJOIkkgyi,41.38609314,-81.71019745,3,3,3,3,3,2,2,2,2,,,,,,,,,,5,2,2,4,5,3,2,2,2,2,2,5,3,3,4,4,4,5,6,6,2,5,6,5,4,3,4,4,4,6,4,7,7,5,6,6,6,6,7,5,5,5,5,5,5,1,1,4,5,1,3,1,4,6,6,7,6,7,6,7,7,7,,,,,,,,,,2,26,5,,4,4,6,6,6,7,2,1,,Christian Baptist,1,4,2,8,To evaluate religious beliefs ,0,Religious beliefs,0,2,,2,0,,0,A
6/24/2017 14:48,6/24/2017 15:00,71.90.79.21,0,718,R_1kRoq1Tj01cQo88,43.02859497,-89.51809692,,,,,,,,,,6,6,6,6,6,6,6,6,6,1,4,3,5,4,3,5,6,4,6,3,3,5,5,5,4,4,4,3,5,4,6,3,3,3,3,3,3,3,5,5,4,6,5,3,5,5,6,3,5,5,5,4,5,1,1,1,1,1,1,1,1,1,,,,,,,,,,3,3,3,5,3,2,2,2,2,2,27,2,,4,4,2,2,2,2,6,9,,,6,1,1,5,I think the purpose was to understand the relationship of religion and morality.,0,The relationship between god and what we perceive to be moral.,0,2,,2,0,,1,B
